epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
147,13571.4,1.38607,0.87487,0.91687,0.84078,0.73907,0.7976,0.59168,1.37596,0.83698,0.9228,0.000102346,0.000102346,0.000102346
148,13644.7,1.37465,0.87217,0.91258,0.85681,0.72737,0.79203,0.58911,1.38106,0.83912,0.92289,9.90192e-05,9.90192e-05,9.90192e-05
149,13716.6,1.38584,0.87602,0.91704,0.84831,0.72836,0.79073,0.59157,1.36457,0.8264,0.91939,9.56928e-05,9.56928e-05,9.56928e-05
150,13794.8,1.37936,0.87086,0.91385,0.84516,0.73203,0.78691,0.58964,1.37029,0.82887,0.92103,9.23664e-05,9.23664e-05,9.23664e-05
151,13879.2,1.38127,0.87459,0.91133,0.8511,0.72955,0.7928,0.59307,1.36809,0.82817,0.92033,8.904e-05,8.904e-05,8.904e-05
152,13949.8,1.37131,0.86173,0.91424,0.85096,0.71799,0.78408,0.5871,1.3649,0.82976,0.91938,8.57136e-05,8.57136e-05,8.57136e-05
153,14008.4,1.35724,0.85523,0.91309,0.85177,0.72201,0.78736,0.58789,1.36728,0.82882,0.91996,8.23872e-05,8.23872e-05,8.23872e-05
154,14078.1,1.37575,0.87401,0.91228,0.84174,0.73839,0.79754,0.59438,1.36781,0.82804,0.91945,7.90608e-05,7.90608e-05,7.90608e-05
155,14168.6,1.35435,0.85694,0.90692,0.84825,0.73503,0.79655,0.59557,1.36555,0.82299,0.91932,7.57344e-05,7.57344e-05,7.57344e-05
156,14264,1.38581,0.87161,0.91104,0.84072,0.72928,0.79313,0.59161,1.36593,0.82658,0.91851,7.2408e-05,7.2408e-05,7.2408e-05
157,14342.9,1.36271,0.85778,0.9125,0.86626,0.73009,0.79604,0.59552,1.36937,0.82145,0.91978,6.90816e-05,6.90816e-05,6.90816e-05
158,14432.3,1.35679,0.85363,0.91024,0.8471,0.73663,0.79686,0.59733,1.36146,0.82145,0.91841,6.57552e-05,6.57552e-05,6.57552e-05
159,14499.6,1.36924,0.85708,0.9088,0.84051,0.74256,0.79815,0.59499,1.36447,0.82006,0.91911,6.24288e-05,6.24288e-05,6.24288e-05
160,14554.8,1.37583,0.86215,0.91676,0.87425,0.72015,0.79421,0.59438,1.36127,0.82071,0.91761,5.91024e-05,5.91024e-05,5.91024e-05
161,14623.3,1.36976,0.85376,0.91102,0.87251,0.72177,0.79735,0.59807,1.36159,0.81963,0.91672,5.5776e-05,5.5776e-05,5.5776e-05
162,14678.4,1.35036,0.85276,0.90961,0.86782,0.72729,0.79731,0.60012,1.35476,0.81413,0.91606,5.24496e-05,5.24496e-05,5.24496e-05
163,14905.7,1.36798,0.85712,0.91401,0.86217,0.73276,0.7974,0.59975,1.35677,0.81685,0.91747,4.91232e-05,4.91232e-05,4.91232e-05
164,14987.6,1.37165,0.86085,0.90997,0.8658,0.73185,0.7958,0.59724,1.35645,0.81682,0.9159,4.57968e-05,4.57968e-05,4.57968e-05
165,15338.1,1.36885,0.85431,0.90972,0.85631,0.72831,0.79611,0.60003,1.35556,0.818,0.91706,4.24704e-05,4.24704e-05,4.24704e-05
166,15389.5,1.39191,0.8783,0.9145,0.8474,0.72978,0.79179,0.5895,1.37223,0.83814,0.92139,3.9144e-05,3.9144e-05,3.9144e-05
167,15440.3,1.37752,0.85938,0.91384,0.82952,0.74188,0.79336,0.58872,1.37265,0.84055,0.92094,3.58176e-05,3.58176e-05,3.58176e-05
168,15529.8,1.3635,0.85029,0.90812,0.84604,0.73126,0.79032,0.589,1.37012,0.83465,0.91998,3.24912e-05,3.24912e-05,3.24912e-05
169,15580.9,1.34756,0.84802,0.90503,0.85839,0.72138,0.79077,0.59052,1.37045,0.83089,0.92089,2.91648e-05,2.91648e-05,2.91648e-05
170,15631.9,1.35786,0.84347,0.90925,0.86287,0.72471,0.79227,0.59254,1.36428,0.83379,0.91946,2.58384e-05,2.58384e-05,2.58384e-05
171,15682.6,1.36398,0.84677,0.90982,0.85235,0.7318,0.79393,0.59431,1.36671,0.83005,0.91885,2.2512e-05,2.2512e-05,2.2512e-05
172,15733.8,1.35627,0.83871,0.90601,0.8472,0.73004,0.79086,0.59036,1.37078,0.83496,0.92035,1.91856e-05,1.91856e-05,1.91856e-05
173,15787.7,1.37244,0.85046,0.90612,0.84912,0.73094,0.79353,0.59326,1.36395,0.82846,0.91823,1.58592e-05,1.58592e-05,1.58592e-05
174,15838.9,1.35679,0.8366,0.90934,0.85445,0.7355,0.79561,0.59406,1.365,0.83091,0.91895,1.25328e-05,1.25328e-05,1.25328e-05
175,15890,1.35009,0.83086,0.9048,0.86845,0.72603,0.7948,0.59149,1.36727,0.83245,0.91889,9.2064e-06,9.2064e-06,9.2064e-06
